Row	chr	starts	ends	strand	ecto	endo	meso	Var8
Abca9	11	110168196	110100749	0	-10.07362	-8.443341	-0.2772548	12060
Grin2c	11	115267243	115249169	0	-8.245551	-7.919279	0.68869317	12096
Adcy3	12	4133103	4213525	1	0.62523395	0.52598304	3.004217	12273
Osr1	12	9574442	9581499	1	-3.527864	-6.5939097	1.0649993	12299
Msgn1	12	11208948	11208382	0	-6.24641	-4.7681346	4.802155	12304
Twist1	12	33957671	33959817	1	-2.435488	-5.127138	1.9017203	12383
Foxf2	13	31625816	31631403	1	-8.305609	-6.8273335	-0.50786674	13056
Foxc1	13	31806646	31810635	1	-5.9093747	-3.2611747	1.1541523	13057
Serpinb9	13	33003250	33017957	1	-5.3959374	-7.3915935	0.32907844	13064
Rbm24	13	46418300	46431090	1	-1.179952	0.52432674	2.8262873	13139
Cap2	13	46501848	46649642	1	0.65187836	0.2595019	2.7367024	13140
Msx2	13	53473074	53466881	0	1.6267538	1.1997159	3.942905	13186
Tgfbi	13	56609603	56639339	1	-3.2048585	-7.0078697	1.1158018	13241
Gas1	13	60177365	60174405	0	3.6382482	3.0118294	5.746056	13263
Hapln1	13	89540636	89611832	1	-3.1846075	-7.9244246	0.8664379	13392
Vcan	13	89742509	89655312	0	-0.035861965	-0.5075463	2.5189958	13393
Fam159b	13	104863893	104845283	0	-3.2150898	-5.9762807	0.29844788	13495
Fgf10	13	118669791	118792115	1	-5.307578	-4.0516953	1.7080538	13546
Wnt5a	14	28504750	28527447	1	0.94919944	-1.0272088	3.5327933	13655
Gdf10	14	33923587	33935280	1	-4.238948	-6.9126763	-0.2172411	13712
Bmp4	14	46390669	46383520	0	-0.071789145	0.098632924	3.82317	13762
Gata4	14	63271692	63198922	0	-3.520387	1.1815367	3.98719	13973
Pdlim2	14	70177681	70164218	0	1.6630516	-0.89970064	4.2902484	14039
Gfra2	14	70890130	70979838	1	-1.4008107	-1.498396	1.3537736	14058
Lect1	14	79662170	79637690	0	-6.795042	-3.9948387	2.1988168	14107
Pcdh8	14	79771312	79766772	0	-0.34421173	-4.1138644	3.2778	14108
Pcdh17	14	84443563	84537060	1	-4.1622796	-7.099042	-0.28904414	14110
Laptm4b	15	34238026	34284295	1	4.937052	7.8423147	8.284209	14265
Klf10	15	38300707	38294413	0	2.2127392	1.4059302	3.791809	14292
Foxh1	15	76669948	76668284	0	6.6803017	6.6285086	7.876656	14470
Csf2rb2	15	78305603	78282517	0	-9.270382	-7.7921066	-0.5460606	14505
Slc38a4	15	97055956	96994823	0	3.2129557	3.4706883	5.051928	14723
Klhl6	16	19983037	19946499	0	-3.4368417	0.38312456	3.8982224	15042
Phldb2	16	45953598	45746243	0	1.759712	2.9022286	4.429035	15250
Robo1	16	72663149	73046095	1	2.0484045	1.5456873	3.5551584	15315
Ifnar2	16	91372783	91405589	1	1.1463412	0.77271485	3.1322863	15380
Igsf5	16	96361668	96525580	1	-3.251504	-4.095157	0.9797216	15425
Pcp4	16	96467606	96525793	1	0.28320694	-0.98575217	3.9766517	15427
Dll1	17	15376872	15367354	0	-1.5975696	1.3740846	4.4668403	15509
Rnf39	17	36942918	36947986	1	-7.9089723	-6.4306974	0.35519192	15996
Zfp57	17	37001163	37010635	1	1.4983765	1.9755317	3.8624673	16001
Rftn1	17	50190674	49992257	0	-1.845788	-1.5184548	1.8494875	16125
Rasgrp3	17	75435905	75529043	1	0.27991575	3.4262087	5.2517858	16266
Zeb1	18	5591860	5775467	1	-6.7915506	-5.6027822	0.45012158	16354
Gfra3	18	34720387	34689903	0	-2.0245602	0.70035464	4.374883	16465
Ppic	18	53418007	53406341	0	4.2338986	4.2536073	6.341713	16608
Prdm6	18	53464546	53575907	1	-3.9229872	-7.120277	2.1950538	16609
Fbn2	18	58209926	58008623	0	-3.163001	-1.239315	1.1469969	16623
Pdgfrb	18	61045150	61085061	1	-3.781673	-2.8883603	0.60981524	16642
Apcdd1	18	62922327	62953195	1	-1.5905423	-1.7496973	0.9131231	16662
Stard6	18	70472454	70501066	1	-1.9135532	-1.9736984	0.9228433	16707
Zadh2	18	84088158	84097514	1	-0.86324394	-1.2121323	2.018921	16762
Peli3	19	4943127	4930651	0	-1.4673381	-1.4246478	2.591234	16835
Ahnak	19	8989284	9076919	1	-4.540826	-2.7771487	0.37982875	16977
Pcsk5	19	17837632	17432832	0	-3.0712454	-2.7521691	1.7452761	17057
Acta2	19	34255336	34241090	0	-3.4237454	-6.4194016	0.43649808	17139
Ch25h	19	34475135	34473786	0	-7.497948	-6.0196733	-0.5940782	17141
Tll2	19	41206774	41083981	0	-6.374724	-2.8964489	0.47216973	17205
Wnt8b	19	44493472	44514273	1	-7.6683006	-7.3420286	-0.92670196	17253
Chst7	66	20059560	20097521	1	1.4314107	2.718477	4.888674	17473
Sowahd	66	37048845	37050418	1	-6.5674214	-6.2411494	1.5546694	17513
Rhox10	66	38066475	38071691	1	-6.6747437	-5.196469	-0.015607271	17549
Dusp9	66	73639419	73643514	1	1.6962731	3.702764	5.5057015	17680
Pcdh19	66	133688993	133582863	0	-2.7218482	-2.2746003	3.327046	17884
Ripply1	66	139782353	139779549	0	-0.6334797	-5.2844877	1.9902408	17953
Morc4	66	139871677	139821632	0	-0.8062559	-2.639567	2.493937	17955
Spin2	66	153832225	153834243	1	2.6056252	3.8981767	5.523637	18020
